,"[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)","[DI320000] 포괄손익계산서, 보험 - 연결 | Statement of Comprehensive Income, Insurance Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
41,dart_OtherOperatingExpenseInvestment,기타투자비용,"Other operating expense, investment",ifrs-full:StatementOfComprehensiveIncomeAbstract,투자손익,투자영업비용,기타투자비용,82117486945.0,75845389982.0,66076867195.0,31926818906.0
42,ifrs-full_ProfitLossFromOperatingActivities,영업이익,Profit (loss) from operating activities,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,2649596688033.0,2357283417485.0,2044658985784.0,1506861736073.0
43,dart_NonOperatingIncome,영업외수익,Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,,,120178048768.0,118672950353.0,55894493080.0,24421580805.0
44,dart_NonOperatingExpense,영업외비용,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,,,25225656084.0,29374611696.0,29736595218.0,30995273839.0
45,ifrs-full_ProfitLossBeforeTax,법인세비용차감전계속영업순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전계속영업순이익,,,2744549080717.0,2446581756142.0,2070816883646.0,1500288043039.0
46,ifrs-full_IncomeTaxExpenseContinuingOperations,계속영업법인세비용,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업법인세비용,,,667751367734.0,624967413095.0,533821155465.0,389003037160.0
47,ifrs-full_ProfitLossFromContinuingOperations,계속영업당기순이익,Profit (loss) from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업당기순이익,,,2076797712983.0,1821614343047.0,1536995728181.0,1111285005879.0
48,ifrs-full_ProfitLossFromDiscontinuedOperations,세후중단영업손익,Profit (loss) from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,세후중단영업손익,,,0.0,0.0,89705832728.0,13425305328.0
49,ifrs-full_ProfitLoss,연결당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익,,,2076797712983.0,1821614343047.0,1626701560909.0,1124710311207.0
50,dart_AdjustedProfitLossNetOfRegulatoryReserveForCreditLoss,대손준비금 반영후 조정이익,"Adjusted profit (loss), net of regulatory reserve for credit loss",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익,대손준비금 반영후 조정이익,,2075795002334.0,1899784305930.0,1629458649475.0,1102587788630.0
51,dart_AdjustedProfitLossNetOfCapastropheReserve,비상위험준비금 반영후 조정이익,"Adjusted profit (loss), net of catastrophe reserve",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익,비상위험준비금 반영후 조정이익,,1904835087811.0,1724481672386.0,1515475789439.0,1012161774153.0
52,dart_AdjustedProfitLossNetOfSurrenderValueReserve,해약환급금준비금 반영후 조정이익,Adjusted profit loss net of surrender value reserve,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익,해약환급금준비금 반영후 조정이익,,1043710554040.0,641602206688.0,0.0,0.0
