,"[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB520000] 현금흐름표, 은행 - 연결 | Statement of Cash Flows, Deposit Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
27,ifrs-full_IncreaseDecreaseThroughConversionOfConvertibleInstruments,전환우선주의 보통주 전환,"Increase (decrease) through conversion of convertible instruments, equity",ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 순현금흐름,전환우선주의 보통주 전환,0.0,0.0,-57000000.0,0.0
28,dart_CashInflowFromIssuanceOfHybridBond,신종자본증권 발행,Cash inflow from issuance of hybrid bond,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 순현금흐름,신종자본증권 발행,499377000000.0,998360000000.0,599040000000.0,499200000000.0
29,dart_CashOutflowForRepaymentOfHybridBond,신종자본증권 상환,Cash outflow for repayment of hybrid bond,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 순현금흐름,신종자본증권 상환,-219901000000.0,-479889000000.0,-524170000000.0,-60000000000.0
30,dart_DividendsPaidToHybridBond,신종자본증권 분배금,Dividends paid to hybrid bond,ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 순현금흐름,신종자본증권 분배금,-170269000000.0,-145981000000.0,-128851000000.0,-122331000000.0
31,ifrs-full_DividendsPaidClassifiedAsFinancingActivities,배당금 지급,"Dividends paid, classified as financing activities",ifrs-full:StatementOfCashFlowsAbstract,재무활동현금흐름,재무활동으로 인한 순현금흐름,배당금 지급,-785738000000.0,-766779000000.0,-624861000000.0,-375645000000.0
32,ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges,환율변동효과 반영전 현금 및 현금성자산의 증가(감소),Increase (decrease) in cash and cash equivalents before effect of exchange rate changes,ifrs-full:StatementOfCashFlowsAbstract,환율변동효과 반영전 현금 및 현금성자산의 증가(감소),,,-11036465000000.0,3448832000000.0,7303436000000.0,6241586000000.0
33,ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents,외화표시 현금 및 현금성자산에 대한 환율변동효과,Effect of exchange rate changes on cash and cash equivalents,ifrs-full:StatementOfCashFlowsAbstract,외화표시 현금 및 현금성자산에 대한 환율변동효과,외화표시 현금 및 현금성자산에 대한 환율변동효과,,819806000000.0,11260000000.0,21817000000.0,331930000000.0
34,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금 및 현금성자산의 순증가(감소),Increase (decrease) in cash and cash equivalents after effect of exchange rate changes,ifrs-full:StatementOfCashFlowsAbstract,현금 및 현금성자산의 순증가(감소),,,-10216659000000.0,3460092000000.0,7325253000000.0,6573516000000.0
35,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초의 현금 및 현금성자산,Cash and cash equivalents at beginning of period,ifrs-full:StatementOfCashFlowsAbstract,기초의 현금 및 현금성자산,,,26711282000000.0,23251190000000.0,15925937000000.0,9193920000000.0
36,ifrs-full_CashAndCashEquivalents,기말의 현금 및 현금성자산,Cash and cash equivalents,ifrs-full:StatementOfCashFlowsAbstract,기말의 현금 및 현금성자산,,,16494623000000.0,26711282000000.0,23251190000000.0,15767436000000.0
