,"[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB220000] 재무상태표, 은행 - 연결 | Statement of Financial Position, Deposit Based - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,class5,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
19,ifrs-full_DerivativeFinancialLiabilitiesHeldForHedging,위험회피회계파생상품부채,Derivative financial liabilities held for hedging,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,부채,위험회피회계파생상품부채,,,294848000000.0,230242000000.0,337773000000.0,110202000000.0
20,ifrs-full_InsuranceContractsIssuedThatAreLiabilities,보험계약부채,Insurance contracts issued that are liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,부채,보험계약부채,,,7853354000000.0,7336963000000.0,7006478000000.0,5907077000000.0
21,ifrs-full_Provisions,충당부채,Provisions,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,부채,충당부채,,,902199000000.0,1021228000000.0,716798000000.0,642200000000.0
22,ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred tax liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,부채,이연법인세부채,,,455690000000.0,288792000000.0,258846000000.0,525131000000.0
23,ifrs-full_OtherLiabilities,기타부채,Other liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,부채,기타부채,,,25351710000000.0,26334822000000.0,17019008000000.0,14538115000000.0
24,ifrs-full_Liabilities,부채총계,Total liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,부채,부채총계,,,437988747000000.0,416610518000000.0,401930409000000.0,370016232000000.0
25,ifrs-full_EquityAttributableToOwnersOfParent,지배기업 주주지분,Equity attributable to owners of parent,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,자본,지배기업 주주지분,,,33946719000000.0,31656585000000.0,29093825000000.0,27565063000000.0
26,ifrs-full_IssuedCapital,자본금,Issued capital,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,자본,지배기업 주주지분,자본금,,4211365000000.0,4211365000000.0,4211365000000.0,4211365000000.0
27,dart_HybridBonds,신종자본증권,Hybrid bonds,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,자본,지배기업 주주지분,신종자본증권,,4313231000000.0,4133457000000.0,3614677000000.0,3499180000000.0
28,dart_CapitalSurplus,자본잉여금,Capital surplus,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,자본,지배기업 주주지분,자본잉여금,,1170257000000.0,1178177000000.0,1174836000000.0,1171905000000.0
29,dart_CapitalAdjustments,자본조정,Capital adjustments,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,자본,지배기업 주주지분,자본조정,,-275000000.0,-309000000.0,-40627000000.0,-92000000.0
30,ifrs-full_AccumulatedOtherComprehensiveIncome,기타포괄손익누계액,Accumulated other comprehensive income,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,자본,지배기업 주주지분,기타포괄손익누계액,,659019000000.0,243950000000.0,-46648000000.0,428399000000.0
31,ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,자본,지배기업 주주지분,이익잉여금,,23593122000000.0,21889945000000.0,20180222000000.0,18254306000000.0
32,dart_RegulatoryReserveForCreditLoss,대손준비금 기 적립액,Regulatory reserve for credit loss,ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,자본,지배기업 주주지분,이익잉여금,대손준비금 기 적립액,3343810000000.0,3269778000000.0,2952630000000.0,2756940000000.0
33,dart_RegulatoryReserveForCreditLossToBeAddedReversed,대손준비금 적립예정금액,Regulatory reserve for credit loss to be added (reversed),ifrs-full:StatementOfFinancialPositionAbstract,부채와 자본,자본,지배기업 주주지분,이익잉여금,대손준비금 적립예정금액,223463000000.0,74032000000.0,317148000000.0,195690000000.0
