,"[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)","[DB320000] 포괄손익계산서, 은행 - 연결 | Statement of Comprehensive Income, Deposit Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
33,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,기타포괄손익지분증권 평가손익변동,"Other comprehensive income, net of tax, gains (losses) from investments in equity instruments",ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감후 연결기타포괄손익,당기손익으로 재분류되지 않는 항목,기타포괄손익지분증권 평가손익변동,161195000000.0,-134939000000.0,150262000000.0,-39933000000.0
34,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,순확정급여부채(자산)의 재측정요소,"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감후 연결기타포괄손익,당기손익으로 재분류되지 않는 항목,순확정급여부채(자산)의 재측정요소,-97091000000.0,-101777000000.0,123734000000.0,73247000000.0
35,ifrs-full_OtherComprehensiveIncomeNetOfTaxFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익채무증권 평가손익변동,"Other comprehensive income, net of tax, financial assets measured at fair value through other comprehensive income",ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감후 연결기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,기타포괄손익채무증권 평가손익변동,226209000000.0,648303000000.0,-700616000000.0,-150482000000.0
36,ifrs-full_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,관계기업투자에 대한 기타포괄손익의 변동,"Share of other comprehensive income of associates and joint ventures accounted for using equity method that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감후 연결기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,관계기업투자에 대한 기타포괄손익의 변동,0.0,-1333000000.0,-2687000000.0,-2646000000.0
37,ifrs-full_OtherComprehensiveIncomeNetOfTaxExchangeDifferencesOnTranslation,외환차이,"Other comprehensive income, net of tax, exchange differences on translation of foreign operations",ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감후 연결기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,외환차이,254210000000.0,38315000000.0,6435000000.0,129193000000.0
38,ifrs-full_OtherComprehensiveIncomeNetOfTaxCashFlowHedges,현금흐름위험회피 평가손익변동,"Other comprehensive income, net of tax, cash flow hedges",ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감후 연결기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,현금흐름위험회피 평가손익변동,-9410000000.0,11782000000.0,-10755000000.0,-10210000000.0
39,ifrs-full_OtherComprehensiveIncomeNetOfTaxHedgesOfNetInvestmentsInForeignOperations,해외사업장순투자위험회피 평가손익변동,"Other comprehensive income, net of tax, hedges of net investments in foreign operations",ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감후 연결기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,해외사업장순투자위험회피 평가손익변동,-70225000000.0,-8689000000.0,-31170000000.0,-35338000000.0
40,ifrs-full_OtherComprehensiveIncomeNetOfTaxInsuranceFinanceIncomeExpensesFromInsuranceContractsIssuedExcludedFromProfitOrLossThatWillBeReclassifiedToProfitOrLoss,보험금융손익,"Other comprehensive income, net of tax, insurance finance income (expenses) from insurance contracts issued excluded from profit or loss that will be reclassified to profit or loss",ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감후 연결기타포괄손익,후속적으로 당기손익으로 재분류되는 항목,보험금융손익,-43607000000.0,-159949000000.0,-2596000000.0,0.0
41,ifrs-full_ComprehensiveIncome,연결총포괄이익,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,연결총포괄이익,,,3075572000000.0,2966901000000.0,2206756000000.0,2385116000000.0
42,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업 주주지분 당기순이익,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익의 귀속,지배기업 주주지분 당기순이익,,2644524000000.0,2669685000000.0,2667696000000.0,2412459000000.0
43,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분 당기순이익,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결당기순이익의 귀속,비지배지분 당기순이익,,9814000000.0,5503000000.0,7034000000.0,13482000000.0
44,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,지배기업 주주지분 총포괄이익,"Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결총포괄이익의 귀속,지배기업 주주지분 총포괄이익,,3063188000000.0,2960320000000.0,2199740000000.0,2371126000000.0
45,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,비지배지분 총포괄이익,"Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,연결총포괄이익의 귀속,비지배지분 총포괄이익,,12384000000.0,6581000000.0,7016000000.0,13990000000.0
46,ifrs-full_BasicEarningsLossPerShare,기본주당이익,Basic earnings (loss) per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업 주주지분에 대한 주당이익,기본주당이익,,3106.0,3162.0,3180.0,2877.0
