,"[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)","[DS320000] 포괄손익계산서, 증권 - 연결 | Statement of Comprehensive Income, Securities Based - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
27,ifrs-full_ProfitLossFromOperatingActivities,영업이익,Profit (loss) from operating activities,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익,,,1205750469446.0,741117973834.0,578093894808.0,1308683292414.0
28,dart_NonOperatingIncome,영업외수익,Non-operating Income,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외수익,,,18798809003.0,13246327184.0,8433902472.0,22416857364.0
29,dart_NonOperatingExpense,영업외비용,Non-operating expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,영업외비용,,,-14923061291.0,-7549741482.0,-11797647045.0,-3929272438.0
30,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익,Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익,,,1209626217158.0,746814559536.0,574730150235.0,1327170877340.0
31,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용,Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용,,,-310588327294.0,-199408851140.0,-152325041800.0,-361832668803.0
32,ifrs-full_ProfitLoss,당기순이익,Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익,,,899037889864.0,547405708396.0,422405108435.0,965338208537.0
33,ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업소유주지분순이익,"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,지배기업소유주지분순이익,,,899037889864.0,547405708396.0,422405108435.0,965338208537.0
34,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분순이익,"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,비지배지분순이익,,,0.0,0.0,0.0,0.0
35,ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-1074169948.0,31205343343.0,31914446066.0,-5023088607.0
36,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,확정급여제도의재측정요소,"Other comprehensive income, net of tax, gains (losses) on remeasurements of defined benefit plans",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,후속적으로 당기손익으로 재분류되지 않는항목,확정급여제도의재측정요소,-4743260771.0,-5997121118.0,11009347186.0,-642792222.0
