corp_name,사업부문,매출유형,품목,구체적용도,주요상표등,매출액(비율),부 문,주요 제품,매출액,비중,품 목,%,사용 용도,주요 상표 등,"('구 분', '구 분')","('매출유형', '매출유형')","('품목', '품목')","('구체적 용도', '구체적 용도')","('주요상표등', '주요상표등')","(""제30기('25.1.1.~12.31.)"", '매출액')","(""제30기('25.1.1.~12.31.)"", '비율')","(""제29기('24.1.1.~12.31.)"", '매출액')","(""제29기('24.1.1.~12.31.)"", '비율')","(""제28기('23.1.1.~12.31.)"", '매출액')","(""제28기('23.1.1.~12.31.)"", '비율')",구체적 용도,매출액 (비율),매출액 (비율)_1,매출액 (비율)_2,비 율,비율,"('사업부문', '사업부문')","('품 목', '품 목')","('구체적용도', '구체적용도')","('2025년', '매출액')","('2025년', '비율')","('2024년', '매출액')","('2024년', '비율')","('2023년', '매출액')","('2023년', '비율')",2025년(제9기),2025년(제9기)_1,2024년(제8기),2024년(제8기)_1,2023년(제7기),2023년(제7기)_1,"('2025년', '비중')","('2024년', '비중')","('2023년', '비중')",기간,제품명,용도 및 기능,매출액(백만원),비율(%),비고,제26기매출액(비율),"('사업구분', '사업구분')","('제25기', '매출액')","('제25기', '비율(%)')",구분,주요상품 등,제품군,제 31(당) 기,제 31(당) 기_1,제 30(전) 기,제 30(전) 기_1,사업구분,품목_1,2025년,2024년,2023년,제품 설명,"('품 목', '품 목.1')","('2025년', '매출액(비율)')","('2024년', '매출액(비율)')","('2023년', '매출액(비율)')",사업소,"('2025년 (제11기)', '금액')","('2025년 (제11기)', '비율')","('2024년 (제10기)', '금액')","('2024년 (제10기)', '비율')","('2023년 (제09기)', '금액')","('2023년 (제09기)', '비율')","('제품설명', '제품설명')","('구분', '구분')",품 목_1,당기,당기_1,전기,전기_1,주요제품,"('주요상표 등', '주요상표 등')","('제19기', '매출액')","('제19기', '비율(%)')",매출액_1,비율(%)_1,매출액_2,비율(%)_2,제27기,제27기_1,제26기,제26기_1,제25기,제25기_1,주요상표 등,"('사업연도', '품 목')","('사업연도', '구분')","('2025년(당기)', '2025년(당기)')","('2024년(제15기)', '2024년(제15기)')","('2023년 (제14기)', '2023년 (제14기)')","('2022년 (제13기)', '2022년 (제13기)')","('응용시장', '응용시장')","('제14기(2025년)', '매출액')","('제14기(2025년)', '비율')","('제13기(2024년)', '매출액')","('제13기(2024년)', '비율')","('제12기(2023년)', '매출액')","('제12기(2023년)', '비율')"
HD현대에너지솔루션,그린 에너지,제품판매 및 수주계약,,,,,,,,,태양광모듈,,,,,,,,,,,,,,,모듈,"374,156 (75.9%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD현대에너지솔루션,그린 에너지,제품판매 및 수주계약,,,,,,,,,제어시스템,,,,,,,,,,,,,,,"PCS, ESS","85,198 (17.3%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD현대에너지솔루션,그린 에너지,제품판매 및 수주계약,,,,,,,,,수주계약,,,,,,,,,,,,,,,수주계약,"28,584 (5.8%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD현대에너지솔루션,그린 에너지,기타,,,,,,,,,용역수익 外,,,,,,,,,,,,,,,O&M 수익 外,"4,722 (1.0%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD현대에너지솔루션,합 계,합 계,,,,,,,,,합 계,,,,,,,,,,,,,,,합 계,"492,660 (100.0%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하나머티리얼즈,,,,,,,,,,,,,,,,제품 외,,,,,,,,,,,,,,,,,실리콘부품,반도체 식각장비의 주요 소모품 외,,,,,,,,,,,,,,,,,,,,,,,반도체 부품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEL,239818.0,87.69,,,,,,,,,,,,,,,,,,,,,,,,
하나머티리얼즈,,,,,,,,,,,,,,,,제품 외,,,,,,,,,,,,,,,,,기타,-,,,,,,,,,,,,,,,,,,,,,,,반도체 부품,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,33053.0,12.09,,,,,,,,,,,,,,,,,,,,,,,,
하나머티리얼즈,,,,,,,,,,,,,,,,투자 외,,,,,,,,,,,,,,,,,기타,조합관리보수 외,,,,,,,,,,,,,,,,,,,,,,,신기술사업금융,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,611.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,
하나머티리얼즈,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,-,-,,,,,,,,,,,,,,,,,,,,,,,합계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,273482.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,
필옵틱스,OLED 디스플레이,,,,,,,,54426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rigid 및 Flexible OLED 공정장비 등,,,,115620,28.1,99182,33.0,,,,,,,,,,,,,,,,,,,,
필옵틱스,반도체 공정장비,,,,,,,,12151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TGV 장비 및 Singulation 장비 등,,,,4403,1.1,2016,0.7,,,,,,,,,,,,,,,,,,,,
필옵틱스,이차전지 공정장비,,,,,,,,33194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stacking 장비 및 Laser Notching 장비 등,,,,285399,69.5,196715,65.6,,,,,,,,,,,,,,,,,,,,
필옵틱스,기타,,,,,,,,3670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"태양광 장비, 개조개선 등",,,,5472,1.3,2088,0.7,,,,,,,,,,,,,,,,,,,,
필옵틱스,합계,,,,,,,,103441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합계,,,,410894,100,300001,100,,,,,,,,,,,,,,,,,,,,
LX세미콘,사업부문,,품목,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,매출액,비율(%),매출액,비율(%),매출액,비율(%),,,,,,,,,,,,,,
LX세미콘,시스템반도체,,Driver - IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14655,89.41,16724,89.64,17485,91.96,,,,,,,,,,,,,,
LX세미콘,시스템반도체,,Driver - IC 외,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736,10.59,1932,10.36,1529,8.04,,,,,,,,,,,,,,
LX세미콘,합계,,합계,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16391,100.00,18656,100.00,19014,100.00,,,,,,,,,,,,,,
와이씨,,반도체 및 전자,,"테스터 및 BOARD 외 전기전자/반도체제조장비 부속품, 메모리 웨이퍼 테스터용 Part 및 테스터장비의 유상 A/S, 개조 등 메모리 웨이퍼 테스터 용 Part 판매",,,,,267477,,"메모리 웨이퍼 테스터, 반도체 제조장비 부속품, Spare parts 및 수리/용역매출",,,,,,,,,,,,,,,,,,,,98.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
와이씨,,기타,,-,,,,,5153,,-,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
와이씨,,합 계,,합 계,,,,,272630,,합 계,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFA반도체,반도체 제조,제품,메모리,,,,,,298306,,,,,,,,,,,,,,,,,컴퓨터관련 주변장치 및 저장장치,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼성전자(주) 외,,,,,,,,,,,,,
SFA반도체,반도체 제조,제품,비메모리,,,,,,66621,,,,,,,,,,,,,,,,,"산업용, PC, VIDEO, AUDIO, 전력용 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼성전자(주) 외,,,,,,,,,,,,,
SFA반도체,반도체 제조,상품,기타,,,,,,1539,,,,,,,,,,,,,,,,,Module 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,삼성전자(주) 외,,,,,,,,,,,,,
SFA반도체,반도체 제조,기타,기타,,,,,,923,,,,,,,,,,,,,,,,,잉여물품 매각,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,성일금속 외,,,,,,,,,,,,,
SFA반도체,합 계,합 계,합 계,,,,,,367389,,,,,,,,,,,,,,,,,합 계,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합 계,,,,,,,,,,,,,
덕산네오룩스,덕산네오룩스(주),제품 등,,,,,,"스마트폰, TV 등 전자기기 소재",202284,,디스플레이 소재,,,,,,,,,,,,,,,,,,,,58.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕산네오룩스,현대중공업터보기계(*1),제품 등,,,,,,발전소 및 선박 등핵심부품,142026,,"펌프, 압축기 외",,,,,,,,,,,,,,,,,,,,41.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕산네오룩스,기 타,-,,,,,,부문간 내부거래 제거 등,-,,부문간 내부거래 제거 등,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕산네오룩스,계,계,,,,,,계,344310,,계,,,,,,,,,,,,,,,,,,,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEGIS I,내수,-,-,-,6881,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEGIS I,수출,-,-,-,27180,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEGIS II,내수,8464,6848,9857,29911,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEGIS II,수출,9774,67757,44497,36638,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEGIS III,내수,-,-,-,-,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AEGIS III,수출,-,20600,21023,-,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRIS-II,내수,-,5405,-,-,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRIS-II,수출,-,-,-,-,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KROKY,내수,25530,-,-,-,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KROKY,수출,2440,-,-,-,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타,내수,425,-,117,480,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기타,수출,-,-,-,-,,,,,,,
넥스틴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,합계,합계,46633,100610,75494,101090,,,,,,,
가온칩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,,,,,,,,,,,,,,,Automotive,30621.0,44.70%,21253.0,22.03%,14568.0,22.91%
가온칩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,,,,,,,,,,,,,,,인공지능(AI),27613.0,40.31%,48938.0,50.70%,9328.0,14.67%
가온칩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,,,,,,,,,,,,,,,IP개발,1097.0,1.60%,2977.0,3.09%,3162.0,4.97%
가온칩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,,,,,,,,,,,,,,,보안(Security),674.0,0.98%,9259.0,9.60%,9746.0,15.32%
가온칩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,,,,,,,,,,,,,,,디스플레이(Display),460.0,0.67%,598.0,0.62%,2592.0,4.08%
가온칩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제품매출,,,,,,,,,,,,,,,,,,,,,,,,,,,사물인터넷(IoT),100.0,0.15%,87.0,0.09%,1067.0,1.68%
가온칩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,제품매출 소계,,,,,,,,,,,,,,,,,,,,,,,,,,,제품매출 소계,60565.0,88.40%,83112.0,86.13%,40463.0,63.62%
가온칩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,용역매출,,,,,,,,,,,,,,,,,,,,,,,,,,,용역매출,7945.0,11.60%,13380.0,13.87%,23134.0,36.38%
가온칩스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,총 매출액,,,,,,,,,,,,,,,,,,,,,,,,,,,총 매출액,68510.0,100.00%,96492.0,100.00%,63597.0,100.00%
