corp_code,stock_code,corp_name,year,매출액,영업이익,당기순이익,ROE(%),ROA(%),영업이익률(%),매출총이익률(%),SGA비율(%),매출원가율(%),부채비율(%),자기자본비율(%),이자보상배수(배),자산회전율(배),재고회전율(배),매출채권회전율(배),Capex,Capex/매출(%),FCF,FCF마진(%),영업활동현금흐름,배당금지급,고정자산비율(%)
1061558,126340,덕산네오룩스,2023,163702143267.0,32919649532.0,35804054122.0,10.14,8.86,20.11,35.09,14.98,64.91,14.48,87.35,21.88,0.4,3.45,18.4,15989737507.0,9.77,33964922105.0,20.75,49954659612.0,0.0,40.29
1061558,126340,덕산네오룩스,2024,212252223722.0,52471548274.0,45760807753.0,11.47,10.12,24.72,38.41,13.69,61.59,13.36,88.21,14.94,0.47,4.15,14.42,20159609146.0,9.5,38667962602.0,18.22,58827571748.0,0.0,37.87
1061558,126340,덕산네오룩스,2025,344309797191.0,60742428308.0,53957306202.0,11.47,7.56,17.64,33.71,16.07,66.29,51.8,65.88,8.75,0.48,3.47,5.09,14062370495.0,4.08,46492172868.0,13.5,60554543363.0,0.0,37.47
563545,367770,두산테스나,2023,338652254525.0,60778799323.0,49077381672.0,12.16,6.43,17.95,24.52,6.57,75.48,89.06,52.89,3.29,0.44,,9.09,174030855647.0,51.39,36515666059.0,10.78,210546521706.0,2718647040.0,76.38
563545,367770,두산테스나,2024,373117930000.0,37923282000.0,36781312000.0,8.4,4.67,10.16,18.17,8.01,81.83,79.98,55.56,2.44,0.47,499.94,10.52,183592765000.0,49.21,35644389000.0,9.55,219237154000.0,3078165000.0,76.35
563545,367770,두산테스나,2025,303874072000.0,-940826000.0,1510043000.0,0.35,0.21,-0.31,9.72,10.03,90.28,61.02,62.1,-0.08,0.43,1074.04,8.3,24797148000.0,8.16,122421186000.0,40.29,147218334000.0,3078165000.0,65.88
369657,58430,리노공업,2023,255573034656.0,114378400291.0,110923015440.0,19.91,19.03,44.75,50.21,5.46,49.79,4.63,95.57,12127.5,0.44,8.93,8.57,69025942542.0,27.01,41365079486.0,16.19,110391022028.0,45537360000.0,31.75
369657,58430,리노공업,2024,278186189427.0,124201343872.0,113279046428.0,18.19,17.23,44.65,49.67,5.02,50.33,5.59,94.7,16332.95,0.42,10.8,5.45,12015508531.0,4.32,98091088534.0,35.26,110106597065.0,45537360000.0,27.88
369657,58430,리노공업,2025,372534084608.0,176997188289.0,151960670406.0,20.78,19.19,47.51,52.18,4.67,47.82,8.3,92.33,27254.14,0.47,11.48,7.05,60236331180.0,16.17,119232515194.0,32.01,179468846374.0,45537360000.0,29.03
126380,5930,삼성전자,2023,258935494000000.0,6566976000000.0,15487100000000.0,4.26,3.4,2.54,30.33,27.8,69.67,25.36,79.77,0.52,0.57,3.49,7.07,60534167000000.0,23.38,-16396740000000.0,-6.33,44137427000000.0,9864474000000.0,46.06
126380,5930,삼성전자,2024,300870903000000.0,32725961000000.0,34451351000000.0,8.57,6.7,10.88,37.99,27.12,62.01,27.93,78.17,2.52,0.58,3.6,6.9,53741639000000.0,17.86,19240982000000.0,6.4,72982621000000.0,10888749000000.0,44.64
126380,5930,삼성전자,2025,333605938000000.0,43601051000000.0,45206805000000.0,10.36,7.97,13.07,39.38,26.31,60.62,29.94,76.96,3.72,0.59,3.84,6.52,52153149000000.0,15.63,33161999000000.0,9.94,85315148000000.0,9897183000000.0,43.18
1095722,58650,심텍,2023,1041895724977.0,-88124119458.0,-115143871777.0,-24.48,-9.79,-8.46,2.73,11.19,97.27,149.99,40.0,-1.42,0.89,7.14,3.65,140452395452.0,13.48,-233853109263.0,-22.44,-93400713811.0,15922938500.0,55.38
1095722,58650,심텍,2024,1231421381070.0,-46969220820.0,-31044704373.0,-6.92,-2.15,-3.81,4.22,8.03,95.78,221.82,31.07,-0.58,0.85,7.66,2.93,103602286141.0,8.41,-264859982684.0,-21.51,-161257696543.0,5095340320.0,45.68
1095722,58650,심텍,2025,1410559919451.0,11868602919.0,-164580357473.0,-28.55,-10.16,0.84,8.75,7.91,91.25,181.13,35.57,0.05,0.87,5.37,2.31,56393883078.0,4.0,-255005833696.0,-18.08,-198611950618.0,4184587700.0,37.13
411048,34230,에스앤에스텍,2023,150320408224.0,25039402690.0,25854851119.0,11.71,10.07,16.66,31.03,14.37,68.97,16.29,85.99,7.53,0.59,5.24,4.46,21333105393.0,14.19,4224600803.0,2.81,25557706196.0,3124540500.0,45.91
411048,34230,에스앤에스텍,2024,176013891367.0,29478688017.0,30313647619.0,12.28,10.21,16.75,33.8,17.05,66.2,20.33,83.1,10.64,0.59,3.7,4.71,19851078112.0,11.28,16197250977.0,9.2,36048329089.0,3154540500.0,42.73
