stock_code,corp_name,corp_code,bsns_year,fs_div,sj_div,sj_nm,account_nm,thstrm_amount,frmtrm_amount,bfefrmtrm_amount,ord,duplicate_key
61970,HPSP,1288827,2024,OFS,BS,재무상태표,재고자산,23116428628.0,24223776591.0,33893036749.0,10.0,
61970,HPSP,1288827,2024,OFS,CF,현금흐름표,재무활동현금흐름,-93933043745.0,-4241573644.0,72325384415.0,9.0,
61970,HPSP,1288827,2024,OFS,BS,재무상태표,총자산,319896333507.0,320687606641.0,260926477131.0,7.0,
61970,HPSP,1288827,2024,OFS,CF,현금흐름표,투자활동현금흐름,19759115436.0,-147900028722.0,-78618176259.0,18.0,HPSP_2024_투자활동현금흐름
61970,HPSP,1288827,2024,OFS,CIS,포괄손익계산서,판매비와관리비,35665951894.0,23382839425.0,24925705708.0,11.0,
61970,HPSP,1288827,2023,OFS,CIS,포괄손익계산서,금융비용,170562900.0,175384748.0,172822126.0,16.0,
61970,HPSP,1288827,2023,OFS,CIS,포괄손익계산서,당기순이익,80432402487.0,66005614943.0,35343559945.0,22.0,
61970,HPSP,1288827,2023,OFS,CIS,포괄손익계산서,매출액,179086660832.0,159336322822.0,91752311763.0,24.0,HPSP_2023_매출액
61970,HPSP,1288827,2023,OFS,CIS,포괄손익계산서,매출원가,60497746980.0,49236155095.0,30123521537.0,9.0,
61970,HPSP,1288827,2023,OFS,BS,재무상태표,매출채권,2205056877.0,,,,
61970,HPSP,1288827,2023,OFS,BS,재무상태표,무형자산,1706648312.0,262534660.0,269935760.0,15.0,
61970,HPSP,1288827,2023,OFS,CF,현금흐름표,무형자산의 취득,1512653531.0,23662146.0,12614530.0,21.0,
61970,HPSP,1288827,2023,OFS,CF,현금흐름표,배당금지급,1813462500.0,0.0,20006777700.0,15.0,
61970,HPSP,1288827,2023,OFS,BS,재무상태표,부채총계,43607317988.0,65554608357.0,38873020070.0,36.0,
61970,HPSP,1288827,2023,OFS,BS,재무상태표,비유동부채,2052735389.0,2130693436.0,2558185822.0,37.0,
61970,HPSP,1288827,2023,OFS,CIS,포괄손익계산서,영업이익,95206074427.0,85174462019.0,45212380589.0,6.0,
61970,HPSP,1288827,2023,OFS,CF,현금흐름표,영업활동현금흐름,90318133969.0,95979642338.0,45554580228.0,24.0,HPSP_2023_영업활동현금흐름
61970,HPSP,1288827,2023,OFS,BS,재무상태표,유형자산,40296201560.0,10115904933.0,1036327922.0,19.0,
61970,HPSP,1288827,2023,OFS,CF,현금흐름표,유형자산의 취득,24669654491.0,9425707733.0,237067829.0,22.0,
61970,HPSP,1288827,2023,OFS,BS,재무상태표,자본총계,277080288653.0,195371868774.0,52748746662.0,24.0,
61970,HPSP,1288827,2023,OFS,BS,재무상태표,재고자산,24223776591.0,33893036749.0,17542951777.0,12.0,
61970,HPSP,1288827,2023,OFS,CF,현금흐름표,재무활동현금흐름,-4241573644.0,72325384415.0,-20200276723.0,9.0,
61970,HPSP,1288827,2023,OFS,BS,재무상태표,총자산,320687606641.0,260926477131.0,91621766732.0,7.0,
61970,HPSP,1288827,2023,OFS,CF,현금흐름표,투자활동현금흐름,-147900028722.0,-78618176259.0,-297808359.0,16.0,HPSP_2023_투자활동현금흐름
61970,HPSP,1288827,2023,OFS,CIS,포괄손익계산서,판매비와관리비,23382839425.0,24925705708.0,16416409637.0,11.0,
24800,ISC,572905,2025,CFS,CIS,포괄손익계산서,금융비용,9130591765.0,7351440555.0,6644682506.0,18.0,
24800,ISC,572905,2025,CFS,CIS,포괄손익계산서,당기순이익,56343270511.0,54898977342.0,13583247114.0,28.0,
24800,ISC,572905,2025,CFS,CIS,포괄손익계산서,매출액,220194751972.0,174480093980.0,140221939908.0,33.0,ISC_2025_매출액
24800,ISC,572905,2025,CFS,CIS,포괄손익계산서,매출원가,122455936259.0,100082332536.0,85057436771.0,14.0,
24800,ISC,572905,2025,CFS,BS,재무상태표,매출채권,69838745682.0,,,,
24800,ISC,572905,2025,CFS,BS,재무상태표,무형자산,6488317138.0,4637106922.0,7456097608.0,28.0,
24800,ISC,572905,2025,CFS,CF,현금흐름표,무형자산의 취득,662843304.0,264180373.0,92500315.0,36.0,
24800,ISC,572905,2025,CFS,CF,현금흐름표,배당금지급,16575995520.0,4092838400.0,9999963000.0,14.0,
24800,ISC,572905,2025,CFS,BS,재무상태표,부채총계,85159587468.0,59741369182.0,68360512034.0,57.0,
24800,ISC,572905,2025,CFS,BS,재무상태표,비유동부채,2277688938.0,7470159434.0,10108190328.0,58.0,
24800,ISC,572905,2025,CFS,CIS,포괄손익계산서,영업이익,60053887115.0,44784268057.0,10736706776.0,6.0,
24800,ISC,572905,2025,CFS,CF,현금흐름표,영업활동현금흐름,41712020998.0,50672432870.0,22378623635.0,38.0,ISC_2025_영업활동현금흐름
24800,ISC,572905,2025,CFS,BS,재무상태표,유형자산,91002025205.0,92193724607.0,92783927417.0,33.0,
24800,ISC,572905,2025,CFS,CF,현금흐름표,유형자산의 취득,5671292473.0,11378896511.0,14523673745.0,37.0,
24800,ISC,572905,2025,CFS,BS,재무상태표,자본총계,537260669443.0,523141601304.0,473452647667.0,36.0,
24800,ISC,572905,2025,CFS,BS,재무상태표,재고자산,25011166037.0,15439669473.0,15434848370.0,19.0,
24800,ISC,572905,2025,CFS,CF,현금흐름표,재무활동현금흐름,-17060276708.0,-27006085434.0,193733028010.0,8.0,
24800,ISC,572905,2025,CFS,BS,재무상태표,총자산,622420256911.0,582882970486.0,541813159701.0,7.0,
24800,ISC,572905,2025,CFS,CF,현금흐름표,투자활동현금흐름,13991425371.0,-251869254329.0,-1629910327.0,18.0,ISC_2025_투자활동현금흐름
24800,ISC,572905,2025,CFS,CIS,포괄손익계산서,판매비와관리비,37684928598.0,29613493387.0,44427796361.0,9.0,
24800,ISC,572905,2024,CFS,CIS,포괄손익계산서,금융비용,7351440555.0,6644682506.0,8593465386.0,18.0,
24800,ISC,572905,2024,CFS,CIS,포괄손익계산서,당기순이익,54898977342.0,13583247114.0,43936651357.0,29.0,
24800,ISC,572905,2024,CFS,CIS,포괄손익계산서,매출액,174480093980.0,140221939908.0,178871264564.0,34.0,ISC_2024_매출액
24800,ISC,572905,2024,CFS,CIS,포괄손익계산서,매출원가,100082332536.0,85057436771.0,94472464846.0,14.0,
24800,ISC,572905,2024,CFS,BS,재무상태표,매출채권,32892700530.0,,,,
24800,ISC,572905,2024,CFS,BS,재무상태표,무형자산,4637106922.0,7456097608.0,9257771621.0,27.0,
24800,ISC,572905,2024,CFS,CF,현금흐름표,무형자산의 취득,264180373.0,92500315.0,585673331.0,39.0,
24800,ISC,572905,2024,CFS,CF,현금흐름표,배당금지급,4092838400.0,9999963000.0,3162330000.0,18.0,
24800,ISC,572905,2024,CFS,BS,재무상태표,부채총계,59741369182.0,68360512034.0,90405304450.0,56.0,
