row_no,date,company,stock_code,market,title,acptno,doc_no,doc_url,crime_type,status,amount,equity,equity_pct,severity,accident_date,confirm_date,accident_content,future_plan,note,full_text,parse_error
902,2026-06-24,대산F&B,06515,코스닥,기타시장안내(개선계획 이행내역서 제출 ),20260624000951,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260624000951&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
901,2026-06-24,비덴트,12180,코스닥,기타시장안내(상장폐지 관련 이의신청서 접수),20260624000945,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260624000945&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
900,2026-06-24,NPX,22216,코스닥,기타시장안내(상장폐지결정 등 효력정지 가처분 신청 기각에 따른 정리매매절차 재개),20260624000892,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260624000892&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
899,2026-06-19,알에프세미,09661,코스닥,기타시장안내(상장적격성 실질심사 사유 추가 관련 절차 미진행),20260619001065,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260619001065&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
898,2026-06-18,노블엠앤비,10652,코스닥,기타시장안내(상장폐지결정 등 효력정지 가처분 신청 기각에 따른 정리매매절차 재개),20260618000854,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260618000854&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
897,2026-06-18,바이온,03298,코스닥,기타시장안내(상장폐지결정 등 효력정지 가처분 신청 기각결정에 따른 정리매매절차 재개),20260618000847,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260618000847&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
896,2026-06-18,프로브잇,22710,코스닥,기타시장안내(상장폐지결정등 효력정지 가처분 신청 기각에 따른 정리매매절차 재개),20260618000837,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260618000837&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
895,2026-06-18,아이엠,10139,코스닥,기타시장안내(상장폐지결정 효력정지 가처분 신청 기각에 따른 정리매매절차 재개),20260618000786,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260618000786&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
894,2026-06-15,버킷스튜디오,06641,코스닥,기타시장안내(상장적격성 실질심사 사유추가 안내),20260615000902,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260615000902&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
893,2026-06-15,이화공영,00184,코스닥,기타시장안내(상장폐지 관련 이의신청서 접수),20260615000856,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260615000856&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
892,2026-06-12,세종메디칼,25883,코스닥,기타시장안내(정리매매 보류 관련),20260612000665,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260612000665&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
891,2026-06-12,현대사료,01679,코스닥,기타시장안내(정리매매 보류 관련),20260612000592,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260612000592&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
890,2026-06-11,현대사료,01679,코스닥,기타시장안내(코스닥시장위원회 개최 결과 및 상장폐지 결정 안내),20260611000893,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260611000893&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
889,2026-06-11,세종메디칼,25883,코스닥,기타시장안내(코스닥시장위원회 개최 결과 및 상장폐지 결정 안내),20260611000896,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260611000896&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
888,2026-06-11,코맥스,03669,코스닥,기타시장안내(개선기간 종료에 따른 상장폐지 여부 결정 안내),20260611000230,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260611000230&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
887,2026-06-10,대진첨단소재,39397,코스닥,기타시장안내(기업심사위원회 개최 결과 안내),20260610001027,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260610001027&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
886,2026-06-10,버킷스튜디오,06641,코스닥,기타시장안내(기업심사위원회 개최 결과 안내),20260610001025,,,,,,,,,,,,,,,"HTTPSConnectionPool(host='kind.krx.co.kr', port=443): Max retries exceeded with url: /common/disclsviewer.do?method=search&acptno=20260610001025&docno=&viewerhost=&viewerport= (Caused by NameResolutionError(""HTTPSConnection(host='kind.krx.co.kr', port=443): Failed to resolve 'kind.krx.co.kr' ([Errno 11001] getaddrinfo failed)""))"
